site,region,subregion,description,lat,long,confidence,salinity,notes
Pond near the beach north of the wharf at Tarpaulin Cove,Elizabeth Islands,Naushon Island,"Very shallow, with coffee-colored water, and full of vegetation.",41.473711,-70.761854,medium,fresh water,"Pond near the beach north of the wharf at Tarpaulin Cove. Based on historical harbor charts, the wharf seems to have been around 41.472138, -70.759861"
French Watering Place,Elizabeth Islands,Naushon Island,Of medium size and free from vegetation except in one corner.,41.461340,-70.767271,medium,fresh water,Southeast shore of Naushon Island.
West End Pond,Elizabeth Islands,Naushon Island,"Circular, quarter of a mile in diameter and very shallow, with considerable vegetation.",41.463719,-70.795364,high,fresh water,
East End Pond,Elizabeth Islands,Nashawena Island,"Of medium size, shallow, and choked with vegetation.",41.438474,-70.858237,low,fresh water,
Pond at southern end of Penikese Island,Elizabeth Islands,Penikese Island,"Small, very shallow and muddy, without vegetation",41.446666,-70.921949,medium,fresh water,
Ice Pond (2),Elizabeth Islands,Cuttyhunk Island,"About 50 feet in diameter, very shallow and choked with vegetation",41.417616,-70.940987,high,fresh water,"Also known as Wash Pond; identified from a map in ""The Story of Cuttyhunk"" by Louise T. Haskell "
Lower Gosnold Pond,Elizabeth Islands,Cuttyhunk Island,Opening into the ocean at its southern end and rather free from vegetation,41.413710,-70.946912,high,brackish,
Upper Gosnold Pond,Elizabeth Islands,Cuttyhunk Island,"Separated from Lower Gosnold Pond by a bank of earth 40 feet wide, and full of vegetation",41.415675,-70.941544,medium,fresh water,
Cuttyhunk Pond,Elizabeth Islands,Cuttyhunk Island,"The harbor of the island, open to the ocean, and very shallow except in the channel",41.425413,-70.925709,high,salt water,
Tarpaulin Cove Pond,Elizabeth Islands,Naushon Island,,,,,fresh water,"CYCLOPS VIRIDIS (p. 322), MESOCYCLOPS OBSOLETUS (p. 330)"
Ice Pond (1),Falmouth,Falmouth,"A small pond north of Quissett Harbor, shallow and full of vegetation.",41.548013,-70.650592,low,fresh water,
Flax Pond (1),Falmouth,Falmouth,"Another small pond still farther north, also shallow and full of vegetation.",41.554867,-70.648434,low,fresh water,
Lily Pond (2),Falmouth,Falmouth,A small pond filled with waterlillies close to the shore of Buzzards Bay and just south of the Falmouth Arms Hotel.,41.565882,-70.648965,medium,fresh water,"The Falmouth Arms Hotel was apparently replaced by condominiums, providing a potential landmark to identify this pond"
Crockers Pond,Falmouth,Falmouth,"Situated north of West Falmouth Village, of medium size and quite deep, without much vegetation.",41.616851,-70.624732,high,fresh water,
Sidleys Pond,Falmouth,Falmouth,"Situated in Falmouth Village, of medium size and fairly deep, with much marginal vegetation.",41.549119,-70.622066,medium,fresh water,Potentially indicates Siders Pond
East Falmouth Pond,Falmouth,Falmouth,"Beside the State highway in East Falmouth, its outlet running into Green Pond;small and shallow.",41.579872,-70.563409,medium,fresh water,
Bournes Pond,Falmouth,Falmouth,"In the village of West Falmouth, of medium size, rather shallow, and filled with vegetation.",41.601379,-70.637841,medium,fresh water,
Mares Pond,Falmouth,Falmouth,"North of the road from East Falmouth to West Falmouth, half a mile in diameter, with a moderate quantity of vegetation.",41.588429,-70.598089,high,fresh water,
Browns Pond (Spectacle Pond),Falmouth,Falmouth,"East of Mares Pond, a little longer but not so wide and filled with vegetation.",41.587796,-70.592626,high,fresh water,
Jones Pond,Falmouth,Falmouth,"In Waquoit Village; of medium size, shallow, and filled with vegetation.",41.562196,-70.606787,high,fresh water,
Lily Pond (3),Falmouth,Falmouth,"South of Ashumet Pond, small in size and very shallow, choked with vegetation to withing 5 inches of the surface.",41.625968,-70.536439,medium,fresh water,
Oyster Pond,Falmouth,Falmouth,"On the shore of Vineyard Sound, half a mile long, quater of a mile wide, filled with floating algae.",41.539753,-70.638240,high,0.214,
Salt Pond,Falmouth,Falmouth,"On the shore of Vineyard Sound east of Oyster Pond, its outer end opening into the ocean.",41.542503,-70.627012,high,0.36,
Little Pond,Falmouth,Falmouth,"On the shore of Vineyard Sound east of Falmouth Heights, a mile long, the outer end opening into the ocean, the inner end recieving a large brook, the pond filled with water bloom.",41.551214,-70.588759,high,fresh water,
Great Pond (1),Falmouth,Falmouth,"On the shore of Vineyard Sound, 2 miles long by half a mile wide, the outer end open to the ocean, the inner end recieving a large stream;vegetation rather limited",41.558352,-70.582171,high,brackish,
Green Pond,Falmouth,Falmouth,"On the shore of Vineyard Sound, 2 miles long, quarter of a mile wide, the outer end open to the ocean, the inner end recieving the outlet og East Falmouth Pond.",41.558845,-70.569527,high,brackish,
Waquoit Bay,Falmouth,Falmouth,"On the shore of Vineyard Sound, 2 miles long, a mile wide, the outer end open to the ocean, the inner end recieving the Quostinet River and a large brook.",41.566571,-70.522536,high,brackish,
Eel Pond,Falmouth,Falmouth,"West of Waquoit Bay and connected with it by a wide outlet, and recieving at its upper end the Childs River, the outlet of John Pond",41.561510,-70.538146,high,brackish,
pond beside State road,Falmouth,Falmouth,,,,,fresh water,EPISCHURA NEVADENSIS (p. 116)
the small pond at the head of the bay (Waquoit),Falmouth,Falmouth,,41.581716,-70.518867,low,brackish,ACARTIA TONSA (p. 161)
Jenkins Pond,Falmouth ,Falmouth ,North of Browns Pond and considerably larger;deep and clear and free from vegetation.,41.596333,-70.585248,high,fresh water,
Katama Bay,Marthas Vineyard,,"A widened thoroughfare between Marthas Vineyard and Chappaquiddick Island, open to the ocean at both ends.",41.358895,-70.491105,high,salt water,
Edgartown Great Pond,Marthas Vineyard,Edgartown,"Two miles long, a mile and a half wide ; open to the ocean* at the southern end, source of Edgartown water supply at the other end.",41.353648,-70.559283,high,brackish,
Pond in western outskirts of Edgartown,Marthas Vineyard,Edgartown,"150 feet in diameter, shallow, and full of water plants",41.386643,-70.537141,low,fresh water,"Species occurrences reported as ""small pond west of Edgartown"" - small pond of fresh water west of Edgartown on Marthas Vineyard"
Sengekontacket Pond,Marthas Vineyard,,"Three miles long, two-thirds of a mile  wide, open to the ocean near its center, shallow, and full of algae.",41.410956,-70.549244,high,29.65,
Farm Pond,Marthas Vineyard,,"Half a mile long, quarter of a mile wide, and  full of water plants of all descriptions.",41.447288,-70.556482,high,13.03,
Menemsha Bight,Marthas Vineyard,,A large bay on the northwest shore where most of the pond nets for fishing are set.,41.354578,-70.778852,high,salt water,
Menemsha Pond,Marthas Vineyard,,A large pond opening into the bight and extending nearly across the island to the southern shore.,41.336834,-70.775419,high,salt water,
Nashaquitsa Pond,Marthas Vineyard,,"Really the southern portion of Menemsha Pond, since they open into each other.",41.327424,-70.767612,high,brackish,
Oak Bluffs Pond,Marthas Vineyard,,A small pond covering an acre and open to  the ocean.,41.458892,-70.579088,low,28.15,ACARTIA TONSA (p. 161)
small pond near Edgartown,Marthas Vineyard,Edgartown,,,,,fresh water,EUCYCLOPS PRASINUS (p. 339)
Eel Pond,Woods Hole,Woods Hole,"Salt water becoming brackish around the mouths of fresh-water brooks that empty into it. A large pond in constant communication with ocean, containing much vegetation and with a muddy bottom.",41.526014,-70.670525,high,salt water,
Penzance Pond,Woods Hole,Woods Hole,"A very small pond on Penzance Neck, filled by the tide at high water.",41.525355,-70.686138,medium,salt water,
Little Harbor,Woods Hole,Woods Hole,A bay opening directly into Vineyard Sound and containing much vegetation.,41.521572,-70.665839,high,salt water,
Quissett Pond,Woods Hole,Woods Hole,"A small pond on the shore of Quissett Harbor just above high-tide level, but so near to Buzzards Bay as to catch the spray during a storm ; filled with water plants.",41.537126,-70.656676,low,brackish,
Mill Pond,Woods Hole,Woods Hole,Within the village of Woods Hole and filled with blanket algae.,41.528492,-70.671882,high,fresh water,
Fresh Pond,Woods Hole,Woods Hole,A small pond close to the ocean on the road leading from Woods Hole to Nobska Lighthouse ; vegetation rather limited.,41.518147,-70.658595,medium,0.4993,"Some species reported from ""Nobska Point"" are included as well"
Lily Pond (1),Woods Hole,Woods Hole,A very small pond filled with waterlilies just north of Nobska Lighthouse.,41.519596,-70.654581,medium,fresh water,
a pond in Woods Hole,Woods Hole,Woods Hole,,,,,fresh water,CYCLOPS BICUSPIDATUS (p. 324)
two of the small ponds on the road from Woods Hole to Falmouth,Woods Hole,Woods Hole,,,,,fresh water,MESOCYCLOPS OBSOLETUS (p. 330)
