"CAMBRIDGE, MA US (USC00191097)"
Date,TAVG (Degrees Fahrenheit),TMAX (Degrees Fahrenheit),TMIN (Degrees Fahrenheit),PRCP (Inches),SNOW (Inches),SNWD (Inches)
1885-11-21,,39,26,0.00,,
1885-11-22,,39,33,0.00,,
1885-11-23,,42,34,0.27,,
1885-11-24,,45,33,0.30,,
1885-11-25,,45,,1.96,,
1885-11-26,,,28,1.42,,
1885-11-27,,34,21,0.01,,
1885-11-28,,37,18,0.00,,
1885-11-29,,36,22,0.00,,
1885-11-30,,36,24,0.00,,
1885-12-01,,,,,,
1885-12-02,,,,,,
1885-12-03,,,,,,
1885-12-04,,,,,,
1885-12-05,,,,,,
1885-12-06,,,,,,
1885-12-07,,,,,,
1885-12-08,,,,,,
1885-12-09,,,,,,
1885-12-10,,,,,,
1885-12-11,,,,,,
1885-12-12,,,,,,
1885-12-13,,,,,,
1885-12-14,,,,,,
1885-12-15,,,,,,
1885-12-16,,,,,,
1885-12-17,,,,,,
1885-12-18,,,,,,
1885-12-19,,,,,,
1885-12-20,,,,,,
1885-12-21,,,,,,
1885-12-22,,,,,,
1885-12-23,,,,,,
1885-12-24,,,,,,
1885-12-25,,,,,,
1885-12-26,,,,,,
1885-12-27,,,,,,
1885-12-28,,,,,,
1885-12-29,,,,,,
1885-12-30,,,,,,
1885-12-31,,,,,,
1886-01-01,,46,38,0.58,0.0,
1886-01-02,,44,30,,0.0,
1886-01-03,,43,37,0.04,0.0,
1886-01-04,,52,36,0.02,0.0,
1886-01-05,,51,,0.97,0.0,
1886-01-06,,,,0.04,0.0,
1886-01-07,,,15,,0.0,
1886-01-08,,25,7,,0.0,
1886-01-09,,25,6,,0.0,
1886-01-10,,15,6,1.34,8.4,
1886-01-11,,14,1,,0.0,
1886-01-12,,8,-13,,0.0,
1886-01-13,,19,-10,,0.0,
1886-01-14,,20,-4,,0.0,
1886-01-15,,27,1,,0.0,
1886-01-16,,35,9,,0.0,
1886-01-17,,39,24,0.03,0.0,
1886-01-18,,28,19,,0.0,
1886-01-19,,37,17,0.11,0.0,
1886-01-20,,34,22,0.70,0.0,
1886-01-21,,39,21,,0.0,
1886-01-22,,35,,0.18,0.0,
1886-01-23,,,,,0.0,
1886-01-24,,,-2,,0.0,
1886-01-25,,31,4,,0.0,
1886-01-26,,38,10,1.09,0.0,
1886-01-27,,33,28,,4.4,
1886-01-28,,33,26,0.68,0.0,
1886-01-29,,34,30,0.57,0.0,
1886-01-30,,36,31,0.60,0.0,
1886-01-31,,30,18,,6.4,
1886-02-01,,28,15,0.02,,
1886-02-02,,22,7,0.00,,
1886-02-03,,16,6,0.00,,
1886-02-04,,8,0,0.24,,
1886-02-05,,6,-9,0.00,,
1886-02-06,,21,-6,0.00,,
