"species","site","lat","long","confidence","region","salinity","affinity"
"Leptodiaptomus minutus","Fresh Pond",41.518147,-70.658595,"medium","Woods Hole","fresh water","T"
"Leptodiaptomus minutus","John Pond",41.627975,-70.519888,"high","Cape Cod","fresh water","T"
"Leptodiaptomus minutus","Mashpee Pond (Wakeby Pond)",41.664209,-70.486267,"high","Cape Cod","fresh water","T"
"Leptodiaptomus minutus","Chequaquet Lake (Great Pond (2))",41.671603,-70.342772,"medium","Cape Cod","fresh water","T"
"Leptodiaptomus minutus","Lovells Pond",41.648461,-70.441941,"high","Cape Cod","fresh water","T"
"Leptodiaptomus minutus","Upper Cotuit Pond",41.654402,-70.459579,"medium","Cape Cod","fresh water","T"
"Leptodiaptomus minutus","Middle Cotuit Pond",NA,NA,"","Cape Cod","fresh water","T"
"Leptodiaptomus minutus","Lower Cotuit Pond",NA,NA,"","Cape Cod","fresh water","T"
"Leptodiaptomus minutus","Shallow Pond",41.676082,-70.322485,"medium","Cape Cod","fresh water","T"
"Leptodiaptomus minutus","Long Pond (1)",41.667325,-70.444256,"high","Cape Cod","fresh water","T"
"Leptodiaptomus minutus","Pleasant Lake (Hinckleys Pond)",41.713074,-70.08944,"high","Cape Cod","fresh water","T"
"Leptodiaptomus minutus","French Watering Place",41.46134,-70.767271,"medium","Elizabeth Islands","fresh water","T"
"Leptodiaptomus minutus","West End Pond",41.463719,-70.795364,"high","Elizabeth Islands","fresh water","T"
"Leptodiaptomus minutus","Crescent Lake (Long Pond (2))",41.655812,-70.336402,"high","Cape Cod","fresh water","T"
"Leptodiaptomus minutus","Seymour Pond (Bangs Pond)",41.724364,-70.093116,"high","Cape Cod","fresh water","T"
"Leptodiaptomus minutus","Oyster Pond",41.539753,-70.63824,"high","Falmouth","fresh water","T"
"Leptodiaptomus minutus","Browns Pond (Spectacle Pond)",41.587796,-70.592626,"high","Falmouth","fresh water","T"
"Leptodiaptomus minutus","Jenkins Pond",41.596333,-70.585248,"high","Falmouth","fresh water","T"
"Leptodiaptomus minutus","Mares Pond",41.588429,-70.598089,"high","Falmouth","fresh water","T"
"Leptodiaptomus minutus","Long Pond (3)",41.725094,-70.064194,"high","Cape Cod","fresh water","T"
"Onychodiaptomus sanguineus","Ice Pond (2)",41.417616,-70.940987,"high","Elizabeth Islands","fresh water","W"
"Aglaodiaptomus leptopus","Pond in western outskirts of Edgartown",41.386643,-70.537141,"low","Marthas Vineyard","fresh water","W"
"Aglaodiaptomus spatulocrenatus","Lily Pond (3)",41.625968,-70.536439,"medium","Falmouth","fresh water","T"
"Aglaodiaptomus spatulocrenatus","Oyster Pond",41.539753,-70.63824,"high","Falmouth","fresh water","T"
"Aglaodiaptomus spatulocrenatus","Mares Pond",41.588429,-70.598089,"high","Falmouth","fresh water","T"
"Aglaodiaptomus spatulocrenatus","Outlet Pond",41.621344,-70.530123,"low","Cape Cod","fresh water","T"
"Aglaodiaptomus spatulocrenatus","John Pond",41.627975,-70.519888,"high","Cape Cod","fresh water","T"
"Aglaodiaptomus spatulocrenatus","Flax Pond (2)",41.688794,-70.595206,"medium","Cape Cod","fresh water","T"
