"species","site","lat","long","confidence","region","salinity"
"Macrocyclops albidus","Oyster Pond",41.539753,-70.63824,"high","Falmouth","fresh water"
"Macrocyclops albidus","Sidleys Pond",41.549119,-70.622066,"medium","Falmouth","fresh water"
"Macrocyclops albidus","Little Pond",41.551214,-70.588759,"high","Falmouth","fresh water"
"Macrocyclops albidus","Outlet Pond",41.621344,-70.530123,"low","Cape Cod","fresh water"
"Macrocyclops albidus","two small ponds on the main road west of Chatham",NA,NA,"","Cape Cod","fresh water"
"Macrocyclops albidus","Rams Head Pond",41.523594,-70.680973,"medium","Elizabeth Islands","fresh water"
"Macrocyclops albidus","Outlet Pond",41.621344,-70.530123,"low","Cape Cod","fresh water"
"Macrocyclops albidus","Ice Pond (1)",41.548013,-70.650592,"low","Falmouth","fresh water"
"Macrocyclops albidus","Crockers Pond",41.616851,-70.624732,"high","Falmouth","fresh water"
"Eucyclops pectinifer","Mill Pond",41.528492,-70.671882,"high","Woods Hole","fresh water"
"Eucyclops pectinifer","Lily Pond (1)",41.519596,-70.654581,"medium","Woods Hole","fresh water"
"Eucyclops pectinifer","Fresh Pond",41.518147,-70.658595,"medium","Woods Hole","fresh water"
"Eucyclops pectinifer","Lower Cotuit Pond",NA,NA,"","Cape Cod","fresh water"
"Eucyclops pectinifer","Middle Cotuit Pond",NA,NA,"","Cape Cod","fresh water"
"Eucyclops pectinifer","Upper Cotuit Pond",41.654402,-70.459579,"medium","Cape Cod","fresh water"
"Eucyclops pectinifer","Chequaquet Lake (Great Pond (2))",41.671603,-70.342772,"medium","Cape Cod","fresh water"
"Eucyclops pectinifer","Lovells Pond",41.648461,-70.441941,"high","Cape Cod","fresh water"
"Eucyclops pectinifer","Long Pond (1)",41.667325,-70.444256,"high","Cape Cod","fresh water"
"Eucyclops pectinifer","Crescent Lake (Long Pond (2))",41.655812,-70.336402,"high","Cape Cod","fresh water"
"Eucyclops pectinifer","Shallow Pond",41.676082,-70.322485,"medium","Cape Cod","fresh water"
"Eucyclops pectinifer","Long Pond (3)",41.725094,-70.064194,"high","Cape Cod","fresh water"
"Eucyclops pectinifer","Seymour Pond (Bangs Pond)",41.724364,-70.093116,"high","Cape Cod","fresh water"
"Eucyclops pectinifer","Pleasant Lake (Hinckleys Pond)",41.713074,-70.08944,"high","Cape Cod","fresh water"
"Eucyclops pectinifer","Round Pond",41.667794,-70.389451,"medium","Cape Cod","fresh water"
"Eucyclops pectinifer","Flax Pond (2)",41.688794,-70.595206,"medium","Cape Cod","fresh water"
"Eucyclops pectinifer","Red Brook Pond",41.678009,-70.608638,"high","Cape Cod","fresh water"
"Eucyclops pectinifer","Ashumet Pond",41.633142,-70.53373,"high","Cape Cod","fresh water"
"Eucyclops pectinifer","John Pond",41.627975,-70.519888,"high","Cape Cod","fresh water"
"Eucyclops pectinifer","Outlet Pond",41.621344,-70.530123,"low","Cape Cod","fresh water"
"Eucyclops pectinifer","Mashpee Pond (Wakeby Pond)",41.664209,-70.486267,"high","Cape Cod","fresh water"
